"Utc","ProcessId","Protocol","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"2026-09-09T14:41:18.9957856Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:21.4427439Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:23.6182569Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:25.7133780Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:27.9038758Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:30.2404592Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:32.5539635Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:35.0462428Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:37.4002111Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:39.6763369Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:42.0372665Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:44.3407326Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:46.6032056Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:48.9858113Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:51.7159136Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:54.4141361Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:57.0986556Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:41:59.7942504Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:02.3909777Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:05.0430200Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:07.7049578Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:10.4080495Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:13.0969215Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:15.6855349Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:18.2814493Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:20.9391330Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:23.5533421Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:26.1389225Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:28.6792367Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:31.2251851Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:33.6809519Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:36.1621783Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:38.6765575Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:41.0907545Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:43.4879577Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:45.9752756Z","26536","UDP","127.0.0.1","55562","","","Bound"
"2026-09-09T14:42:48.3529910Z","26536","UDP","127.0.0.1","55562","","","Bound"
